Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319665,59350,O,50.6317183168
Hors intersection,1,Parc de stationnement ouvert à la circulation publique,0,0,0,0,0,,,0,1,1,,,319679,59367,O,50.6721775091
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319694,59512,O,50.6879774811
Intersection en X,6,Route Départementale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319783,59163,O,50.6740689994
Hors intersection,7,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,319819,59009,O,50.6324372393
Intersection en T,7,Voie Communale,0,0,0,0,0,,,0,1,1,,,319843,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,0,0,,,0,1,1,,,319855,59512,O,50.6879774811
Hors intersection,1,Autoroute,0,1,0,3,6,202,700,0,1,Partie rectiligne,,,319873,59560,O,50.5462914067
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319928,59163,O,50.6740689994
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319950,59328,O,50.6522053005
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320095,59512,O,50.6879774811
Hors intersection,6,Voie Communale,0,0,0,1,2,,,0,1,Partie rectiligne,,,320099,59650,O,50.7056367285
Hors intersection,8,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,320157,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320168,59512,O,50.6879774811
Hors intersection,7,Voie Communale,Carrefour aménagé,0,0,3,5,,,0,1,Partie rectiligne,,,320369,59599,O,50.7254418902
Hors intersection,1,Autoroute,0,22,0,1,3,24,100,Piste cyclable,1,Partie rectiligne,,,320388,59426,O,50.7533162393
Hors intersection,1,Route Départementale,0,0,0,3,2,,,0,1,Partie rectiligne,,,320451,59299,O,50.6548049456
Intersection en X,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320652,59220,O,50.593618421
Intersection en T,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320672,59163,O,50.6740689994
Intersection en T,5,Voie Communale,0,0,0,2,2,,,0,0,Partie rectiligne,,,320751,59646,O,50.6750984751
Hors intersection,8,Voie Communale,0,0,0,1,2,,,0,1,Partie rectiligne,,,320860,59350,O,50.6317183168
Giratoire,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320880,59512,O,50.6879774811
Intersection en X,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320906,59367,O,50.6721775091
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324133,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,324204,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,324208,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324227,59650,O,50.7056367285
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324240,59650,O,50.7056367285
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324271,59650,O,50.7056367285
Intersection en T,7,Voie Communale,0,0,,2,2,,,0,0,0,,,324275,59512,O,50.6879774811
Hors intersection,5,Voie Communale,Carrefour aménagé,0,,3,3,,,Piste cyclable,1,En courbe à droite,,,324292,59646,O,50.6750984751
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324389,59352,O,50.7361350171
Hors intersection,5,Voie Communale,0,0,,1,1,,,0,2,Partie rectiligne,,,324402,59508,O,50.747350697
Hors intersection,8,Voie Communale,0,0,0,2,3,,,0,1,Partie rectiligne,,,321514,59350,O,50.6317183168
Intersection en T,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321522,59512,O,50.6879774811
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321528,59163,O,50.6740689994
Hors intersection,5,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,321538,59299,O,50.6548049456
Hors intersection,1,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,321547,59512,O,50.6879774811
Hors intersection,1,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,321627,59646,O,50.6750984751
Intersection en T,8,Voie Communale,Carrefour aménagé,0,0,0,0,,,0,0,0,,,321706,59350,O,50.6317183168
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321719,59650,O,50.7056367285
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321720,59512,O,50.6879774811
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321728,59163,O,50.6740689994
Hors intersection,5,Route Nationale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321734,59508,O,50.747350697
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321782,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,321786,59599,O,50.7254418902
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321788,59352,O,50.7361350171
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321836,59512,O,50.6879774811
Intersection en X,1,Route Départementale,0,0,0,2,0,,,0,1,Partie rectiligne,,,321878,59317,O,50.6841292085
Autre intersection,1,Route Départementale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321879,59431,O,50.6992987531
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321925,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,2,0,,,0,2,Partie rectiligne,,,321937,59599,O,50.7254418902
Intersection en X,1,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,323017,59650,O,50.7056367285
Intersection en T,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323027,59163,O,50.6740689994
Intersection en T,4,Route Départementale,0,945,,2,2,0,0,0,1,Partie rectiligne,5068600,286300,323046,59202,O,50.6700847929
Hors intersection,5,Route Départementale,0,947,,2,0,0,0,0,1,Partie rectiligne,0,0,323112,59051,O,50.5397647046
Intersection en T,5,Voie Communale,0,0,,3,0,,,0,1,Partie rectiligne,,,323149,59508,O,50.747350697
Intersection en X,1,Route Départementale,0,0,,2,2,,,0,1,En courbe à gauche,,,323179,59431,O,50.6992987531
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323208,59636,O,50.6957054596
Hors intersection,5,autre,0,0,,2,1,,,0,1,Partie rectiligne,,,323434,59636,O,50.6957054596
Hors intersection,1,Autoroute,0,25,,3,2,22,340,0,1,Partie rectiligne,,,323574,59431,O,50.6992987531
Hors intersection,7,Voie Communale,Carrefour aménagé,0,,2,0,,,0,1,Partie rectiligne,,,323610,59512,O,50.6879774811
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323792,59646,O,50.6750984751
Hors intersection,1,Voie Communale,Bretelle d’échangeur ou de raccordement,0,,2,2,,,0,1,Partie rectiligne,,,323812,59431,O,50.6992987531
Hors intersection,5,Route Départementale,0,39,,2,0,7,250,0,0,Partie rectiligne,5052684,293423,323818,59011,O,50.5265153703
Hors intersection,4,Route Départementale,0,941,,2,2,38,700,0,1,Partie rectiligne,5060837,325287,323880,59044,O,50.6111718868
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320981,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,320992,59599,O,50.7254418902
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321132,59512,O,50.6879774811
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,En courbe à gauche,,,321205,59646,O,50.6750984751
Giratoire,6,Voie Communale,0,0,0,0,2,,,0,1,0,,,414696,59163,O,50.6740689994
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,414772,59646,O,50.6750984751
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,2,0,,,414840,59279,O,50.7747480298
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,0,,,414884,59650,O,50.7056367285
Intersection en X,1,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,414886,59650,O,50.7056367285
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,414630,59163,O,50.6740689994
Hors intersection,1,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,414799,59512,O,50.6879774811
Intersection en X,1,Route Départementale,0,0,0,1,2,,,0,2,En « S »,,,428432,59143,O,50.6659536434
Intersection en X,7,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,429137,59512,O,50.6879774811
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,87412,59350,O,50.6317183168
Hors intersection,5,Route Départementale,0,39,0,2,2,11,250,0,1,Partie rectiligne,5051600,290000,438063,59052,O,50.5162714452
Hors intersection,8,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,438291,59350,O,50.6317183168
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,438297,59512,O,50.6879774811
Hors intersection,1,Autoroute,0,25,0,3,3,1,100,0,1,Partie rectiligne,,,414606,59350,O,50.6317183168
Hors intersection,5,Route Départementale,0,241,0,2,2,0,0,0,1,Partie rectiligne,5057100,293100,393515,59653,O,50.5726224029
Intersection en T,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,393629,59646,O,50.6750984751
Hors intersection,5,Voie Communale,0,0,,2,0,0,0,0,3,En courbe à gauche,0,0,393682,59508,O,50.747350697
Hors intersection,1,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,393742,59512,O,50.6879774811
Intersection en X,1,Route Départementale,0,0,0,0,2,,,0,1,1,,,426030,59152,O,50.7497420422
Intersection en X,8,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,88122,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,247760,59378,O,50.6753348557
Hors intersection,1,Route Nationale,0,351,0,3,6,0,300,0,0,0,,,247853,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,,2,1,,,0,1,Partie rectiligne,,,247957,59163,O,50.6740689994
Intersection en X,8,Voie Communale,0,0,0,1,6,,,0,1,Partie rectiligne,,,85668,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,85670,59009,O,50.6324372393
Intersection en T,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,85671,59368,O,50.6548883138
Intersection en X,8,Autoroute,Bretelle d’échangeur ou de raccordement,25,0,1,3,,,0,1,Partie rectiligne,,,85695,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,2,4,,,0,1,0,,,85719,59350,O,50.6317183168
Intersection en T,3,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,85730,59128,O,50.6474745374
Hors intersection,4,Voie Communale,0,0,0,2,2,,,0,1,0,,,85731,59193,O,50.5908761975
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,85786,59560,O,50.5462914067
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,0,,,85825,59599,O,50.7254418902
Hors intersection,1,Autoroute,0,1,0,3,4,209,400,0,0,0,,,85844,59507,O,50.6044738955
Hors intersection,7,autre,0,0,0,2,2,,,0,1,Partie rectiligne,,,85934,59599,O,50.7254418902
Intersection en X,7,Route Départementale,0,506,,3,5,,,0,1,Partie rectiligne,,,86014,59009,O,50.6324372393
Hors intersection,1,Autoroute,0,25,,3,,1,0,0,0,0,,,86026,59350,O,50.6317183168
Hors intersection,1,Autoroute,0,25,,3,,4,200,0,0,0,,,86029,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,227,,3,4,0,100,0,2,En courbe à droite,,,86033,59343,O,50.5892285666
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86047,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86049,59410,O,50.6432478699
Intersection en T,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86060,59560,O,50.5462914067
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86076,59360,O,50.608350368
Hors intersection,8,Voie Communale,Souterrain - tunnel,0,,2,2,,,0,1,Partie rectiligne,,,86909,59350,O,50.6317183168
Hors intersection,1,Autoroute,0,1,,3,4,209,500,0,0,0,,,86091,59507,O,50.6044738955
Hors intersection,1,Route Départementale,0,656,,0,,0,200,0,0,0,,,86157,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,86167,59009,O,50.6324372393
Hors intersection,5,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,86181,59286,O,50.6044150332
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86227,59648,O,50.5864928159
Intersection en T,8,Voie Communale,0,0,,2,2,,,Bande cyclable,1,Partie rectiligne,,,86268,59350,O,50.6317183168
Hors intersection,3,Voie Communale,Pont - autopont,0,,2,2,,,0,1,Partie rectiligne,,,86370,59128,O,50.6474745374
Hors intersection,4,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,86405,59656,O,50.7620461406
Hors intersection,1,Autoroute,0,25,,3,4,14,400,0,0,Partie rectiligne,,,86430,59143,O,50.6659536434
Intersection en X,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86464,59410,O,50.6432478699
Hors intersection,8,Voie Communale,0,0,,2,4,,,0,1,Partie rectiligne,,,86465,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86511,59009,O,50.6324372393
Hors intersection,1,Autoroute,0,22,,3,4,17,150,0,0,Partie rectiligne,,,86556,59378,O,50.6753348557
Hors intersection,1,Route Nationale,Bretelle d’échangeur ou de raccordement,22,,1,2,1,0,0,0,En courbe à droite,,,86602,59343,O,50.5892285666
Hors intersection,1,Route Départementale,0,652,,3,4,9,200,0,0,0,,,86606,59636,O,50.6957054596
Hors intersection,8,Voie Communale,Pont - autopont,0,,2,4,,,0,1,Partie rectiligne,,,86910,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,352,0,3,2,14,100,0,0,0,,,224702,59646,O,50.6750984751
Hors intersection,8,Voie Communale,0,0,0,2,4,,,Piste cyclable,1,Partie rectiligne,,,224754,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,224798,59350,O,50.6317183168
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,224842,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,0,1,2,,,0,1,Partie rectiligne,,,224845,59378,O,50.6753348557
Intersection en X,6,Voie Communale,0,0,0,3,2,,,Piste cyclable,1,Partie rectiligne,,,224953,59378,O,50.6753348557
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,224992,59560,O,50.5462914067
Giratoire,6,Voie Communale,Carrefour aménagé,0,0,1,1,,,0,1,En courbe à gauche,,,225023,59378,O,50.6753348557
Intersection en X,8,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,225196,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,,2,4,,,Bande cyclable,1,Partie rectiligne,,,225242,59360,O,50.608350368
Hors intersection,1,Route Départementale,0,656,,3,,0,700,0,0,0,,,225280,59350,O,50.6317183168
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,225343,59650,O,50.7056367285
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,225399,59350,O,50.6317183168
Intersection en X,5,Route Départementale,0,108,,2,2,,,0,1,Partie rectiligne,,,225427,59386,O,50.67409511
Intersection en X,7,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,Partie rectiligne,,,225482,59512,O,50.6879774811
Intersection en X,1,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,Partie rectiligne,,,225602,59426,O,50.7533162393
Hors intersection,8,Voie Communale,0,0,,1,2,,,Piste cyclable,1,Partie rectiligne,,,86683,59350,O,50.6317183168
Intersection en Y,6,Route Départementale,Bretelle d’échangeur ou de raccordement,0,,1,1,,,0,1,En courbe à gauche,,,86715,59368,O,50.6548883138
Hors intersection,1,Autoroute,Bretelle d’échangeur ou de raccordement,25,,3,4,0,400,0,0,En courbe à gauche,,,86747,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,,2,4,,,0,1,Partie rectiligne,,,86763,59350,O,50.6317183168
Hors intersection,8,Voie Communale,Zone piétonne,0,,2,2,,,0,1,Partie rectiligne,,,86778,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86796,59328,O,50.6522053005
Intersection en Y,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86815,59350,O,50.6317183168
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86848,59421,O,50.7041016348
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,0,En courbe à droite,,,86852,59512,O,50.6879774811
Intersection en X,1,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,86855,59163,O,50.6740689994
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86858,59507,O,50.6044738955
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86873,59512,O,50.6879774811
Intersection en X,8,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,86883,59350,O,50.6317183168
Intersection en X,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86898,59378,O,50.6753348557
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86938,59512,O,50.6879774811
Intersection en X,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,86954,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,656,,3,4,0,600,0,0,0,,,86966,59350,O,50.6317183168
Intersection en X,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,87020,59512,O,50.6879774811
Giratoire,5,Voie Communale,0,0,,0,2,,,0,1,0,,,87027,59352,O,50.7361350171
Hors intersection,1,Voie Communale,0,0,,0,2,,,0,0,0,,,87076,59650,O,50.7056367285
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,0,0,,,87102,59163,O,50.6740689994
Hors intersection,1,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,87116,59512,O,50.6879774811
Hors intersection,7,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,Partie rectiligne,,,87238,59512,O,50.6879774811
Intersection en T,6,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,Partie rectiligne,,,87268,59650,O,50.7056367285
Hors intersection,7,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,Partie rectiligne,,,87299,59512,O,50.6879774811
Hors intersection,1,Route Nationale,0,356,0,3,2,6,900,0,1,Partie rectiligne,,,254160,59646,O,50.6750984751
Hors intersection,1,Autoroute,0,1,0,3,3,199,900,0,1,Partie rectiligne,,,254161,59560,O,50.5462914067
Intersection en T,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324154,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324155,59009,O,50.6324372393
Intersection en X,8,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,324182,59350,O,50.6317183168
Intersection en X,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324187,59350,O,50.6317183168
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324210,59560,O,50.5462914067
Hors intersection,7,Voie Communale,0,0,,2,2,,,Piste cyclable,1,Partie rectiligne,,,324252,59512,O,50.6879774811
Giratoire,7,Voie Communale,Carrefour aménagé,0,,1,1,,,0,2,En courbe à gauche,,,324288,59512,O,50.6879774811
Intersection en X,7,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,324353,59599,O,50.7254418902
Hors intersection,4,Voie Communale,0,0,,2,2,,,0,2,En courbe à droite,,,324356,59098,O,50.7638184317
Hors intersection,5,Voie Communale,0,0,,0,1,,,0,1,1,,,324409,59426,O,50.7533162393
Hors intersection,1,Autoroute,Bretelle d’échangeur ou de raccordement,25,,3,4,1,350,0,1,Partie rectiligne,,,324495,59350,O,50.6317183168
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322125,59350,O,50.6317183168
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322131,59512,O,50.6879774811
Hors intersection,1,Autoroute,0,25,0,3,6,1,600,0,0,Partie rectiligne,,,322167,59350,O,50.6317183168
Hors intersection,1,Autoroute,0,1,0,3,6,208,0,0,0,En courbe à droite,,,322168,59507,O,50.6044738955
Hors intersection,1,Route Nationale,0,351,0,3,4,0,500,0,2,Partie rectiligne,,,322175,59350,O,50.6317183168
Giratoire,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322198,59646,O,50.6750984751
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322200,59512,O,50.6879774811
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322204,59512,O,50.6879774811
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322267,59512,O,50.6879774811
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322319,59017,O,50.6913797537
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322688,59512,O,50.6879774811
Intersection en T,6,Voie Communale,0,0,,2,2,,,Piste cyclable,1,Partie rectiligne,,,322689,59378,O,50.6753348557
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322713,59009,O,50.6324372393
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322817,59378,O,50.6753348557
Intersection en T,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322864,59350,O,50.6317183168
Hors intersection,1,Voie Communale,0,0,,1,2,,,0,1,Partie rectiligne,,,323002,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320975,59512,O,50.6879774811
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321074,59512,O,50.6879774811
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321075,59512,O,50.6879774811
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321136,59339,O,50.6813150077
Intersection en X,7,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,321137,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321150,59512,O,50.6879774811
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321386,59650,O,50.7056367285
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321210,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321211,59512,O,50.6879774811
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321429,59378,O,50.6753348557
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,0,,,321444,59512,O,50.6879774811
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321447,59512,O,50.6879774811
Hors intersection,1,Voie Communale,Pont - autopont,0,0,3,2,,,0,1,Partie rectiligne,,,321544,59512,O,50.6879774811
Hors intersection,5,Voie Communale,0,0,0,2,1,,,0,1,Partie rectiligne,,,321563,59508,O,50.747350697
Hors intersection,7,Voie Communale,0,0,0,2,1,,,0,1,Partie rectiligne,,,321566,59599,O,50.7254418902
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321655,59650,O,50.7056367285
Hors intersection,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321707,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,2,0,,,0,1,Partie rectiligne,,,321809,59350,O,50.6317183168
Hors intersection,5,Voie Communale,0,0,0,2,0,,,0,1,En courbe à gauche,,,321904,59386,O,50.67409511
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321917,59512,O,50.6879774811
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323093,59512,O,50.6879774811
Intersection en T,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323199,59163,O,50.6740689994
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323212,59512,O,50.6879774811
Intersection en X,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323299,59350,O,50.6317183168
Hors intersection,3,Route Départementale,0,0,,2,2,,,0,1,Partie rectiligne,,,323312,59470,O,50.6607863693
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323392,59378,O,50.6753348557
Hors intersection,4,Route Départementale,0,90,,2,0,0,0,0,1,Partie rectiligne,0,0,323396,59044,O,50.6111718868
Hors intersection,5,Route Départementale,0,947,,2,2,0,0,0,1,Partie rectiligne,0,0,323471,59051,O,50.5397647046
Intersection en T,6,Route Départementale,0,0,,2,2,,,0,1,Partie rectiligne,,,323674,59017,O,50.6913797537
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323719,59220,O,50.593618421
Intersection en T,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323767,59650,O,50.7056367285
Hors intersection,5,Route Départementale,0,39,,2,2,7,450,0,1,Partie rectiligne,5052506,293541,323817,59011,O,50.5265153703
Hors intersection,5,Route Départementale,0,36,,1,1,8,0,0,2,Partie rectiligne,5071171,299847,323887,59482,O,50.7129994523
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321990,59512,O,50.6879774811
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322368,59163,O,50.6740689994
Intersection en X,7,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,426007,59512,O,50.6879774811
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,426032,59512,O,50.6879774811
Hors intersection,1,Voie Communale,0,0,,3,2,,,0,1,Partie rectiligne,,,426041,59512,O,50.6879774811
Hors intersection,1,Autoroute,0,25,0,3,4,4,100,0,1,Partie rectiligne,,,85105,59350,O,50.6317183168
