Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Hors intersection,1,Autoroute,0,25,0,3,2,11,300,0,1,Partie rectiligne,,,83832,59196,O,50.640484704
Hors intersection,7,Voie Communale,Voie ferrée,0,0,2,2,,,0,1,Partie rectiligne,,,83949,59009,O,50.6324372393
Hors intersection,6,Voie Communale,0,0,0,3,4,,,0,1,Partie rectiligne,,,83951,59378,O,50.6753348557
Hors intersection,1,Route Départementale,0,0,0,3,2,,,0,1,0,,,83958,59378,O,50.6753348557
Hors intersection,1,Autoroute,0,25,0,3,4,2,0,0,1,Partie rectiligne,,,83990,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,84014,59350,O,50.6317183168
Autre intersection,6,autre,0,0,0,0,0,,,0,0,0,,,84028,59410,O,50.6432478699
Hors intersection,1,Autoroute,0,1,0,3,3,203,300,0,1,Partie rectiligne,,,84066,59585,O,50.5706303055
Intersection à plus de 4 branches,6,Voie Communale,0,0,0,3,4,,,0,1,Partie rectiligne,,,84112,59368,O,50.6548883138
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,En courbe à droite,,,84115,59507,O,50.6044738955
Intersection en X,8,Voie Communale,Carrefour aménagé,0,0,3,4,,,0,1,Partie rectiligne,,,84203,59350,O,50.6317183168
Hors intersection,1,Autoroute,0,25,0,3,4,0,100,0,2,Partie rectiligne,,,84266,59350,O,50.6317183168
Autre intersection,1,Voie Communale,0,0,0,2,0,,,0,1,Partie rectiligne,,,84380,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,84385,59328,O,50.6522053005
Hors intersection,1,Autoroute,0,1,0,3,3,210,200,0,1,Partie rectiligne,,,84412,59507,O,50.6044738955
Hors intersection,8,Voie Communale,0,0,0,2,2,,,Bande cyclable,1,Partie rectiligne,,,84437,59350,O,50.6317183168
Intersection en Y,7,Voie Communale,0,0,0,2,0,,,0,1,En courbe à gauche,,,84481,59599,O,50.7254418902
Intersection en X,8,Route Départementale,0,0,0,3,5,,,Bande cyclable,1,Partie rectiligne,,,84515,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,2,0,,,0,1,Partie rectiligne,,,84537,59350,O,50.6317183168
Hors intersection,4,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,84637,59585,O,50.5706303055
Intersection en X,8,Route Départementale,0,0,0,2,4,,,Piste cyclable,1,Partie rectiligne,,,85687,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,351,0,3,6,0,300,0,0,0,,,85764,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,3,4,,,0,1,Partie rectiligne,,,85778,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,0,0,,,Bande cyclable,1,0,,,85792,59009,O,50.6324372393
Hors intersection,1,Route Départementale,0,656,0,3,4,3,370,0,0,0,,,85838,59410,O,50.6432478699
Hors intersection,8,Voie Communale,0,0,,2,4,,,Piste cyclable,0,0,,,85960,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,2,2,,,Piste cyclable,1,Partie rectiligne,,,85797,59350,O,50.6317183168
Hors intersection,4,Route Départementale,0,207,0,2,0,0,0,0,1,Partie rectiligne,5062700,297900,84723,59278,O,50.6120409794
Hors intersection,6,Voie Communale,0,0,0,3,4,,,0,1,Partie rectiligne,,,84762,59378,O,50.6753348557
Intersection en Y,5,Voie Communale,0,0,0,3,3,,,0,1,Partie rectiligne,,,84781,59507,O,50.6044738955
Hors intersection,5,Voie Communale,0,0,0,2,0,,,0,1,Partie rectiligne,,,84879,59507,O,50.6044738955
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,84886,59009,O,50.6324372393
Intersection en X,6,Voie Communale,0,0,0,1,0,,,0,1,Partie rectiligne,,,84962,59368,O,50.6548883138
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,84989,59350,O,50.6317183168
Intersection en Y,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,84999,59350,O,50.6317183168
Hors intersection,7,Route Départementale,0,0,0,1,1,,,Piste cyclable,1,Partie rectiligne,,,85010,59599,O,50.7254418902
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,85047,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,0,2,2,,,Bande cyclable,1,Partie rectiligne,,,85079,59350,O,50.6317183168
Hors intersection,1,Autoroute,0,1,0,3,6,198,400,0,1,Partie rectiligne,,,85119,59560,O,50.5462914067
Hors intersection,1,Route Nationale,Bretelle d’échangeur ou de raccordement,351,0,3,4,0,500,0,0,0,,,85123,59350,O,50.6317183168
Hors intersection,1,Autoroute,0,22,0,3,4,11,700,0,1,Partie rectiligne,,,85124,59378,O,50.6753348557
Intersection en X,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,85161,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,2,1,,,0,1,Partie rectiligne,,,85172,59599,O,50.7254418902
Hors intersection,1,Autoroute,0,22,0,3,6,10,55,0,1,En courbe à droite,,,85192,59009,O,50.6324372393
Intersection en X,7,Route Départementale,0,0,0,3,5,,,Piste cyclable,1,Partie rectiligne,,,84183,59009,O,50.6324372393
Hors intersection,1,Autoroute,0,25,0,3,3,3,500,0,1,Partie rectiligne,,,84240,59350,O,50.6317183168
Hors intersection,1,Route Nationale,0,356,0,3,2,0,400,0,1,Partie rectiligne,,,84251,59350,O,50.6317183168
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,82819,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,0,2,,,0,1,1,,,224813,59599,O,50.7254418902
Intersection en X,6,Voie Communale,0,0,,3,4,,,0,1,Partie rectiligne,,,247869,59378,O,50.6753348557
Hors intersection,6,Voie Communale,0,0,,3,3,,,0,1,Partie rectiligne,,,247921,59368,O,50.6548883138
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,247927,59009,O,50.6324372393
Intersection en X,8,Voie Communale,0,0,,1,2,,,0,1,Partie rectiligne,,,324169,59350,O,50.6317183168
Intersection en X,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324188,59350,O,50.6317183168
Hors intersection,6,Voie Communale,0,0,,2,1,,,0,1,Partie rectiligne,,,324229,59650,O,50.7056367285
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324319,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324380,59599,O,50.7254418902
Intersection en X,7,Voie Communale,0,0,,2,2,,,0,2,Partie rectiligne,,,324398,59599,O,50.7254418902
Hors intersection,7,Voie Communale,0,0,,2,2,,,Voie réservée,1,Partie rectiligne,,,324406,59599,O,50.7254418902
Hors intersection,1,Autoroute,0,25,,1,4,0,900,0,1,Partie rectiligne,,,324502,59350,O,50.6317183168
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321997,59163,O,50.6740689994
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322092,59599,O,50.7254418902
Hors intersection,3,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322149,59332,O,50.666027423
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322151,59512,O,50.6879774811
Giratoire,1,Route Départementale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322188,59378,O,50.6753348557
Hors intersection,1,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,322199,59512,O,50.6879774811
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,0,,,322203,59650,O,50.7056367285
Hors intersection,5,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,322370,59646,O,50.6750984751
Hors intersection,7,Voie Communale,0,0,0,2,2,1,0,0,1,Partie rectiligne,,,322397,59599,O,50.7254418902
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322419,59017,O,50.6913797537
Hors intersection,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322432,59350,O,50.6317183168
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322462,59367,O,50.6721775091
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,322469,59512,O,50.6879774811
Intersection en X,7,Voie Communale,0,0,0,1,1,,,0,1,Partie rectiligne,,,322513,59009,O,50.6324372393
Intersection en T,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322626,59163,O,50.6740689994
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322672,59646,O,50.6750984751
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,En courbe à gauche,,,322676,59339,O,50.6813150077
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322719,59599,O,50.7254418902
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322741,59512,O,50.6879774811
Hors intersection,8,Voie Communale,0,0,,2,0,,,0,1,Partie rectiligne,,,322793,59350,O,50.6317183168
Hors intersection,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,322872,59299,O,50.6548049456
Intersection en X,1,Voie Communale,Carrefour aménagé,0,,2,2,,,0,1,Partie rectiligne,,,322929,59599,O,50.7254418902
Intersection en X,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323007,59512,O,50.6879774811
Hors intersection,1,Route Nationale,0,656,,3,6,1,300,0,0,Partie rectiligne,,,323013,59350,O,50.6317183168
Intersection en T,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323087,59599,O,50.7254418902
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323103,59360,O,50.608350368
Hors intersection,1,Autoroute,0,25,,3,4,12,300,0,0,Partie rectiligne,,,323136,59196,O,50.640484704
Hors intersection,7,Voie Communale,0,0,,2,2,,,Bande cyclable,1,Partie rectiligne,,,323147,59599,O,50.7254418902
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323153,59350,O,50.6317183168
Intersection en T,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323194,59512,O,50.6879774811
Intersection en X,5,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,323368,59343,O,50.5892285666
Hors intersection,7,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,323389,59599,O,50.7254418902
Hors intersection,5,Route Départementale,Pont - autopont,0,,4,2,,,Voie réservée,2,Partie rectiligne,,,323390,59426,O,50.7533162393
Hors intersection,7,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323391,59599,O,50.7254418902
Intersection en X,5,Voie Communale,0,0,,1,1,,,0,1,Partie rectiligne,,,323453,59286,O,50.6044150332
Hors intersection,1,Autoroute,0,656,,0,4,0,970,0,1,1,,,323532,59350,O,50.6317183168
Intersection en T,4,Route Départementale,0,0,,2,4,,,0,1,Partie rectiligne,,,323582,59346,O,50.6111691928
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,323628,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,,1,4,,,Voie réservée,1,Partie rectiligne,,,323675,59350,O,50.6317183168
Hors intersection,8,Voie Communale,0,0,,2,1,,,0,1,Partie rectiligne,,,323780,59350,O,50.6317183168
Hors intersection,1,Voie Communale,0,0,,2,0,0,0,0,1,En courbe à droite,5068498,297954,323888,59611,O,50.6820809996
Hors intersection,5,Route Départementale,0,241,,2,2,3,400,0,0,Partie rectiligne,5057706,293946,323969,59653,O,50.5726224029
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320989,59512,O,50.6879774811
Hors intersection,7,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,320997,59599,O,50.7254418902
Hors intersection,1,Route Nationale,0,41,0,2,3,0,0,Bande cyclable,1,Partie rectiligne,5053700,281100,321008,59051,O,50.5397647046
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321123,59328,O,50.6522053005
Intersection en T,8,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321125,59350,O,50.6317183168
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321152,59512,O,50.6879774811
Hors intersection,4,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,,321204,59193,1
Intersection en T,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321206,59650,O,50.7056367285
Hors intersection,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321208,59512,O,50.6879774811
