Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
1,Normale,Plein jour,1,0,1,1,0,2,1,0,DUNANT (RUE HENRI),11.23,2,5
7,Neige - grêle,Nuit avec éclairage public allumé,1,0,1,1,0,0,,0,AUTOROUTE A25,11.23,2,3
3,Normale,Plein jour,1,0,1,1,1,2,,0,ROUGE (RUE DE LA CROIX),11.23,3,5
2,Pluie légère,Nuit avec éclairage public allumé,1,0,1,1,2,2,,0,LINSELLES (ROUTE DE),11.23,4,5
3,Normale,Plein jour,1,0,1,1,1,2,,0,RAVENNES (RUE DES),11.23,3,5
2,Normale,Nuit sans éclairage public,1,0,2,0,0,,,,,21.6,2,1
6,Normale,Plein jour,1,0,2,0,0,,,,,21.6,2,3
6,Normale,Plein jour,1,0,2,0,1,2,1,0,FRESNOY (RUE DU),21.6,3,5
1,Normale,Plein jour,1,0,2,0,1,2,1,0,REIMS (BOULEVARD DE),21.6,3,5
6,Normale,Plein jour,1,0,2,0,0,1,0,0,MARNE AVENUE DE LA,21.6,2,5
2,Normale,Plein jour,1,0,2,0,0,9,0,0,LINSELLES (RUE DE),21.6,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,2,0,3,9,,0,OUEST BOULEVARD DE L,21.6,5,5
6,Normale,Plein jour,5,0,2,0,0,1,0,0,REPUBLIQUE AV DE LA ( N?501-825),21.6,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,2,0,0,1,69,0,GUESDE (RUE JULES),21.6,2,5
3,Normale,Plein jour,1,0,2,0,0,2,,0,WAMBRECHIES (AVENUE),21.6,2,5
6,Normale,Plein jour,1,0,1,2,0,1,164,0,SANGNIER (AVENUE MARC ),11.66,3,5
3,Normale,Plein jour,1,0,1,2,1,2,1,0,LE NOTRE (AVENUE),11.66,4,5
3,Normale,Plein jour,1,0,0,2,0,1,1,0,TRANSIT RUE DU,0.86,2,5
5,Pluie légère,Nuit avec éclairage public allumé,1,0,0,2,1,,,,,0.86,3,3
3,Normale,Plein jour,1,0,0,2,1,9,0,0,CANTELEU AVENUE DE,0.86,3,5
6,Normale,Plein jour,1,0,0,2,1,1,0,0,DE GAULLE CHARLES RUE,0.86,3,5
6,Normale,Plein jour,1,0,0,2,1,1,0,0,ARTISANAT RUE DE L,0.86,3,5
3,Pluie forte,Plein jour,1,0,0,2,0,9,0,0,YPRES RUE D,0.86,2,5
7,Normale,Nuit avec éclairage public allumé,1,0,0,2,0,9,0,0,ALBERT 1ER BOULEVARD,0.86,2,5
4,Normale,Plein jour,1,0,0,2,3,0,,0,AUTOROUTE A25,0.86,5,3
3,Normale,Crépuscule ou aube,1,0,0,2,2,9,0,0,BREUCQ BOULEVARD DU,0.86,4,5
6,Normale,Plein jour,1,0,0,2,0,0,,0,ROUTE DEPARTEMENTALE 656,0.86,2,3
3,Temps couvert,Plein jour,1,0,0,2,0,9,0,0,LIENART AVENUE DU CARDINAL,0.86,2,5
6,Pluie légère,Nuit avec éclairage public allumé,1,0,0,2,0,0,,0,ROUTE NATIONALE 227,0.86,2,3
6,Normale,Plein jour,1,0,0,2,1,0,,0,AUTOROUTE A1,0.86,3,3
2,Normale,Nuit sans éclairage public,1,0,0,2,0,0,,0,AUTOROUTE A23,0.86,2,3
7,Normale,Nuit avec éclairage public allumé,1,0,0,2,0,1,73,0,VAUBAN BOULEVARD N° RESTE,0.86,2,5
6,Normale,Plein jour,1,0,0,2,1,1,0,0,ANCIENS COMBATTANTS RUE DES,0.86,3,5
3,Normale,Plein jour,1,0,0,2,0,9,0,0,TOURNAI BOULEVARD DE,0.86,2,5
7,Normale,Nuit avec éclairage public allumé,1,0,0,2,0,9,,0,CARNOT SADI RUE,0.86,2,5
3,Normale,Plein jour,1,0,0,2,1,1,28,0,CHANZY RUE,0.86,3,5
6,Pluie forte,Nuit sans éclairage public,1,0,0,2,0,0,,0,ROUTE DEPARTEMENTALE 656,0.86,2,3
6,Normale,Nuit avec éclairage public allumé,4,0,0,2,2,1,2,0,SANGNIER (AVENUE MARC ),0.86,4,5
3,Normale,Plein jour,1,0,0,2,1,1,75,0,PORT RUE N° RESTE,0.86,3,5
3,Pluie forte,Nuit avec éclairage public allumé,1,0,0,2,1,1,211,0,GRAND BUT RUE DU,0.86,3,5
3,Normale,Nuit avec éclairage public allumé,1,0,0,2,1,1,74,0,NATIONALE RUE N°2 A 178B-1 A 171,0.86,3,5
3,Pluie légère,Crépuscule ou aube,1,0,0,2,1,9,,0,PASTEUR RUE,0.86,3,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,2,2,1,1,0,MAUFAIT (RUE DE,0.86,4,5
3,Normale,Plein jour,1,0,0,2,1,1,125,0,ERMITAGE RUE DE L,0.86,3,5
3,Normale,Plein jour,1,0,0,2,1,1,154,0,LIONDERIE (RUE DE LA),0.86,3,5
6,Normale,Plein jour,1,0,0,3,2,0,,0,AUTOROUTE A25,1.29,5,3
6,Normale,Nuit avec éclairage public allumé,1,0,0,3,0,0,,0,ROUTE DEPARTEMENTALE 656,1.29,3,3
6,Normale,Plein jour,1,0,0,3,0,0,,0,AUTOROUTE A1,1.29,3,3
6,Normale,Crépuscule ou aube,1,0,0,3,2,0,,0,AUTOROUTE A1,1.29,5,3
2,Normale,Plein jour,1,0,0,3,3,9,0,0,BEETHOVEN AVENUE,1.29,6,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,3,0,1,229,0,PREVOTE RUE DE LA,1.29,3,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,3,0,2,1,0,LAMARTINE (RUE),1.29,3,5
3,Temps éblouissant,Plein jour,0,0,0,3,1,9,0,0,VIOLETTES RUE DES,1.29,4,5
1,Pluie légère,Nuit sans éclairage public,1,0,0,3,0,9,,0,VENDEVILLE ROUTE DE,1.29,3,5
6,Normale,Plein jour,1,0,0,3,1,1,0,0,LAVOISIER RUE,1.29,4,5
6,Normale,Plein jour,1,0,1,1,1,1,0,0,CORNEILLE RUE,11.23,3,5
6,Normale,Plein jour,1,0,1,1,1,1,,0,Parking P1 Kinépolis,11.23,3,5
6,Normale,Plein jour,1,0,0,4,0,1,17,0,MONGE RUE,1.72,4,5
6,Normale,Plein jour,1,0,0,4,0,0,,0,ROUTE DEPARTEMENTALE 656,1.72,4,3
5,Normale,Plein jour,1,1,0,0,3,1,57,0,JAURES JEAN RUE    N°5 AU 99,100.0,4,5
6,Normale,Plein jour,1,1,0,0,1,9,0,0,DOREZ BARTHELEMY PLACE,100.0,2,5
3,Normale,Plein jour,1,0,0,1,1,9,0,0,8 MAI 1945 RUE DU A PARTIR DU N° 60,0.43,2,5
6,Normale,Plein jour,1,0,0,1,2,1,92,0,MOLINEL RUE N°PAIRS,0.43,3,5
3,Normale,Plein jour,1,0,0,1,1,1,101,0,CARNOY RUE DE LA N°5 AU 191,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,0,,0,ROUTE DEPARTEMENTALE 652,0.43,1,3
3,Autre,Nuit avec éclairage public allumé,1,0,0,1,1,9,0,0,LILLE RUE DE,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,1,86,0,DELORY GUSTAVE RUE,0.43,2,5
7,Normale,Plein jour,1,0,0,1,0,0,,0,AUTOROUTE A23,0.43,1,3
6,Pluie légère,Crépuscule ou aube,1,0,0,1,0,9,0,0,CARNOT RUE,0.43,1,5
6,Normale,Plein jour,1,0,0,1,1,1,137,0,LECLERC RUE DU GENERAL,0.43,2,5
6,Pluie légère,Crépuscule ou aube,1,0,0,1,1,1,,0,POMPIDOU G. RUE DU PDT.102 A 262,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,3,0,0,1,0,1,72,0,LIENART (RUE DU CARDINAL),0.43,1,5
3,Pluie légère,Plein jour,1,0,0,1,1,2,,0,ROUGE (RUE DE LA CROIX),0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,0,,0,ROUTE NATIONALE 356,0.43,2,3
3,Pluie légère,Plein jour,1,0,0,1,1,1,9,0,CARREL ARMAND RUE,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,0,,0,ROUTE NATIONALE 356,0.43,2,3
2,Pluie légère,Plein jour,1,0,0,1,1,1,0,0,MOSELLE BOULEVARD N° DE 1000 A 6000 INCL,0.43,2,5
1,Pluie légère,Plein jour,1,0,0,1,1,1,,0,URSULINES (RUE DES),0.43,2,5
6,Pluie légère,Plein jour,1,0,0,1,2,0,,0,AUTOROUTE A1,0.43,3,3
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,,0,HUGO VICTOR RUE,0.43,2,5
6,Pluie légère,Plein jour,1,0,0,1,0,9,160,0,BONPAIN RUE DE L'ABBE,0.43,1,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,0,,0,AUTOROUTE A25,0.43,2,3
6,Pluie légère,Plein jour,1,0,0,1,0,0,,0,AUTOROUTE A25,0.43,1,3
1,Pluie légère,Nuit avec éclairage public allumé,1,0,0,1,2,1,1,0,DOMINIAL (127 AV. DE LA MARNE),0.43,3,5
6,Normale,Plein jour,1,0,0,1,1,1,9,0,BASSEE RUE DE LA,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,9,0,0,LANNOY RUE,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,0,,0,AUTOROUTE A1,0.43,1,3
6,Normale,Plein jour,1,0,0,1,1,1,38,0,KLEBER RUE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,0,1,,0,HEGEL RUE,0.43,1,5
6,Normale,Plein jour,1,0,0,1,1,1,82,0,ROUSSEAU JEAN JACQUES RUE,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,0,,0,ROUTE NATIONALE 356,0.43,1,3
2,Normale,Plein jour,1,0,0,1,1,9,0,0,TACQ ANTOINE PLACE,0.43,2,5
2,Pluie légère,Plein jour,1,0,0,1,1,1,73,0,WAMBRECHIES RUE DE,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,1,1,0,LORRAINE BOULEVARD,0.43,2,5
1,Normale,Plein jour,1,0,0,1,1,1,147,0,ROUBAIX (RUE DE),0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,0,,0,ROUTE NATIONALE 227,0.43,2,3
6,Pluie forte,Plein jour,1,0,0,1,0,0,,0,AUTOROUTE A27,0.43,1,3
3,Neige - grêle,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A27,0.43,2,3
6,Normale,Plein jour,1,0,0,1,1,1,30,0,VIEILLE RUE,0.43,2,5
6,Normale,Plein jour,1,1,0,0,1,,,,,100.0,2,3
6,Normale,Plein jour,1,1,0,0,1,1,,0,OUEST QUAI,100.0,2,5
6,Normale,Nuit avec éclairage public allumé,1,1,0,0,0,1,50,0,FAUBOURG DE ROUBAIX RUE,100.0,1,5
6,Pluie légère,Nuit avec éclairage public allumé,1,1,0,0,1,1,216,0,LEGRAND PIERRE RUE,100.0,2,5
1,Normale,Nuit sans éclairage public,1,1,0,0,1,,,,,100.0,2,1
3,Pluie légère,Nuit avec éclairage public allumé,5,1,0,0,1,1,1,0,BEETHOVEN AVENUE,100.0,2,5
3,Normale,Plein jour,1,1,0,0,1,1,,0,rue de la Lys,100.0,2,5
2,Normale,Plein jour,1,0,4,0,2,2,1,0,HOMMELET (RUE DE L'),43.2,6,5
3,Pluie légère,Plein jour,1,0,2,0,1,1,1,0,LAMBRET OSCAR AVENUE,21.6,3,5
6,Normale,Plein jour,1,0,2,0,0,,,,,21.6,2,1
3,Normale,Plein jour,1,0,2,0,1,9,0,0,PONT RUE DU,21.6,3,5
3,Normale,Plein jour,1,0,2,0,0,2,1,0,ARMENTIERES (BOULEVARD D'),21.6,2,5
3,Normale,Nuit avec éclairage public allumé,0,0,2,0,0,1,32465,0,EUROPE (Avenue de l'),21.6,2,5
3,Temps couvert,Plein jour,1,0,2,0,0,2,1,0,LANNOY (RUE DE ),21.6,2,5
7,Normale,Plein jour,1,0,2,0,0,1,54679,0,EUROPE  (AVENUE DE L'),21.6,2,5
3,Normale,Crépuscule ou aube,1,0,2,0,0,1,251,0,BOIS RUE DU,21.6,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,2,0,1,1,1,0,MARNE (AVENUE DE LA),21.6,3,5
6,Pluie légère,Plein jour,1,0,1,2,3,1,113,0,HUGO VICTOR RUE,11.66,6,5
7,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,9,0,0,ESPLANADE FACADE,0.43,1,5
6,Normale,Plein jour,1,0,1,1,0,2,1,0,LILLE (RUE DE),11.23,2,5
7,Normale,Plein jour,3,0,1,1,0,1,0,0,POSTES RUE DES,11.23,2,5
1,Normale,Plein jour,0,0,1,1,0,9,0,0,MARAIS CHEMIN DU GRAND,11.23,2,5
1,Normale,Plein jour,1,0,1,1,1,,,,,11.23,3,1
6,Pluie légère,Nuit avec éclairage public allumé,1,0,1,1,0,,,,,11.23,2,1
6,Normale,Nuit avec éclairage public allumé,4,0,1,1,1,2,,0,CHOCQUEEL (RUE WINOC),11.23,3,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,1,2,2,,0,SANGNIER (RUE MARC),11.23,4,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,1,3,1,,0,WERVICQ (RUE DE),11.23,5,5
6,Vent fort - tempete,Nuit avec éclairage public allumé,1,1,0,4,1,1,,0,CD 925,101.72,6,5
6,Normale,Nuit avec éclairage public allumé,4,1,1,0,0,,,,,110.8,2,1
6,Normale,Plein jour,1,0,0,3,1,1,,0,FAUBOURG D'ARRAS RUE,1.29,4,5
6,Pluie légère,Plein jour,1,0,1,0,1,1,,0,CHURCHILL WINSTON RUE,10.8,2,5
2,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,EUROPE (AVENUE DE L'),10.8,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,LANNOY (RUE DE ),10.8,2,5
6,Temps couvert,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,GARE (RUE DE LA),10.8,2,5
4,Pluie légère,Plein jour,1,0,1,0,2,1,1,0,ROUBAIX ANTENNE DU SUD DE,10.8,3,5
1,Temps couvert,Plein jour,1,0,1,0,1,2,1,0,SAINT ANTOINE (RUE),10.8,2,5
6,Pluie légère,Plein jour,1,0,1,0,1,2,1,0,LANNOY (RUE DE ),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,0,,,,,10.8,1,3
3,Normale,Plein jour,1,0,1,0,1,2,1,0,PERRIN (RUE PROFESSEUR),10.8,2,5
6,Normale,Plein jour,1,0,1,0,0,1,,0,VERLINGHEM RUE DE,10.8,1,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,BEAUREPAIRE (BOULEVARD),10.8,2,5
7,Normale,Plein jour,1,0,1,0,1,2,1,0,LIBERTE (BOULEVARD DE LA),10.8,2,5
6,Pluie légère,Plein jour,1,0,1,0,1,1,,0,AUGUSTINS RUE DES,10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,DE ROUBAIX (RUE PIERRE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,242,0,PAPIN (CHAUSSEE DENIS),10.8,2,5
4,Normale,Plein jour,1,0,1,0,3,0,,0,AUTOROUTE A22,10.8,4,3
6,Normale,Plein jour,1,0,1,0,0,2,1,0,CD 700,10.8,1,5
6,Pluie légère,Crépuscule ou aube,1,0,1,0,1,9,0,0,CHEMIN ROUGE,10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,GARE (RUE DE LA),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,COLI (RUE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,,0,MALSENCE RUE,10.8,2,5
6,Normale,Plein jour,1,0,1,0,0,2,1,0,ALMA GARE (PLACE),10.8,1,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,PROGRES (RUE DU),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,0,1,100,0,TURGOT RUE,10.8,1,5
6,Pluie forte,Plein jour,1,0,1,0,1,1,,0,FEBVRIER JACQUES PLACE,10.8,2,5
6,Normale,Plein jour,3,0,1,0,1,1,0,0,PEUPLE BELGE AVENUE DU,10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,1,221,0,FAIDHERBE (RUE),10.8,2,5
2,Normale,Plein jour,1,0,1,0,1,1,111,0,LEERS (RUE DE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,27,0,DOUMER (RUE DU PRESIDENT PAUL),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,ORAN (RUE D'),10.8,2,5
6,Temps éblouissant,Plein jour,1,0,1,0,1,2,1,0,GRAND COTTIGNIES (AVENUE DU),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,,0,VIGNE (CHEMIN DE LA),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,,0,ARC (RUE JEANNE D'),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,83,0,BRANDT WILLY AVENUE,10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,PLUTARQUE (RUE),10.8,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,LANGEVIN (RUE PROFESSEUR),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,DE GAULLE (AVENUE CHARLES),10.8,2,5
3,Normale,Plein jour,5,0,1,0,1,2,1,0,FOSSE AUX CHENES  (AVENUE DE LA),10.8,2,5
4,Pluie forte,Nuit avec éclairage public allumé,1,0,1,0,4,2,1,0,FLANDRE (AVENUE DE),10.8,5,5
6,Normale,Nuit avec éclairage public allumé,0,0,1,0,3,9,0,0,KENNEDY AVENUE,10.8,4,5
3,Pluie forte,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,SAVARY (RUE ALAIN),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,LUXEMBOURG (RUE DU),10.8,2,5
6,Pluie forte,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,DESBARBIEUX (RUE FLORIMOND),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,491,0,LILLE (RUE DE)MENIN A 8 MAI 1945,10.8,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,FOSSE AUX CHENES  (AVENUE DE LA),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,10,0,BAVAI (RUE DE),10.8,2,5
2,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,1,92,0,VISCOURT (RUE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,EPEULE  (RUE DE L'),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,1,497921,0,ROUTE DEPARTEMENTALE 945,10.8,2,5
1,Normale,Plein jour,1,0,1,0,1,1,57876,0,HOUCKE (AVENUE JULES),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,MOUVAUX (RUE DE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,34,0,AVESNES (RUE D'),10.8,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,LEBAS (RUE JEAN BAPTISTE),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,PERRIN (RUE PROFESSEUR),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,,,,,10.8,2,1
1,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,,,,,10.8,2,1
3,Temps couvert,Nuit sans éclairage public,1,0,1,0,2,2,,0,HALLUIN (BOULEVARD D'),10.8,3,5
3,Normale,Nuit sans éclairage public,1,0,1,0,1,1,46724645,0,MEUNIERS (RUE DES),10.8,2,5
2,Normale,Plein jour,1,0,1,0,1,1,910,0,COMINES CHEMIN DE,10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,9,,0,BONDUES RUE DE,10.8,2,5
2,Normale,Plein jour,1,0,1,0,1,0,,0,AUTOROUTE A25,10.8,2,3
1,Normale,Plein jour,1,0,1,0,1,2,1,0,FOCH (RUE DU MARECHAL),10.8,2,5
6,Neige - grêle,Crépuscule ou aube,1,0,1,0,1,2,1,0,LEJEUNE (RUE LOUIS),10.8,2,5
7,Normale,Plein jour,1,0,1,0,0,1,41345,0,HOUCKE (AVENUE JULES),10.8,1,5
2,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,,,,,10.8,2,1
6,Normale,Plein jour,1,0,1,0,1,,,,,10.8,2,1
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,KENNEDY (AVENUE DU PRESIDENT),10.8,2,5
6,Temps couvert,Plein jour,1,0,1,0,1,9,0,0,FRANCE (RUE ANATOLE),10.8,2,5
3,Normale,Plein jour,1,0,1,0,2,2,1,0,COLBERT (RUE),10.8,3,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,HAUT VINAGE (RUE DU),10.8,2,5
3,Normale,Plein jour,1,0,2,0,1,2,1,0,CURIE (RUE PIERRE),21.6,3,5
3,Pluie légère,Plein jour,1,0,2,0,1,2,1,0,LEJEUNE (RUE LOUIS),21.6,3,5
1,Normale,Plein jour,0,0,2,0,3,1,312,0,NEUVILLE (ROUTE DE),21.6,5,5
5,Normale,Plein jour,1,0,2,0,1,2,1,0,CARETTE (AVENUE HENRI),21.6,3,5
3,Normale,Plein jour,1,0,2,0,0,2,1,0,LAINE (ROUTE DE LA),21.6,2,5
6,Pluie légère,Plein jour,1,0,2,0,1,2,1,0,GARE (RUE DE LA),21.6,3,5
6,Pluie légère,Plein jour,1,0,2,0,0,2,1,0,DELORY  (AVENUE GUSTAVE),21.6,2,5
3,Normale,Plein jour,1,0,4,0,0,9,454,0,CHAPELLE CD 222  ( RUE DE LA ),43.2,4,5
5,Normale,Plein jour,1,0,5,0,0,2,1,0,COLMAR (BOULEVARD DE),54.0,5,5
5,Normale,Plein jour,1,0,0,1,2,9,,0,JACQUART,0.43,3,5
3,Normale,Nuit avec éclairage public allumé,1,1,0,0,1,,,,,100.0,2,1
6,Normale,Plein jour,1,1,0,0,1,1,1,0,STRASBOURG BOULEVARD,100.0,2,5
6,Normale,Plein jour,1,1,0,0,1,2,1,0,DELORY  (AVENUE GUSTAVE),100.0,2,5
3,Pluie légère,Plein jour,1,0,2,0,1,0,,0,AUTOROUTE A25,21.6,3,3
3,Normale,Plein jour,1,0,1,1,0,,,,,11.23,2,1
1,Normale,Plein jour,1,0,1,1,0,2,1,0,BROSSOLETTE (RUE PIERRE),11.23,2,5
6,Normale,Nuit sans éclairage public,3,0,1,1,1,,,,,11.23,3,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,1,0,2,1,0,GUESDE (RUE JULES),11.23,2,5
1,Normale,Plein jour,1,0,3,0,1,9,0,0,LILLE (RUE DE),32.4,4,5
6,Normale,Plein jour,0,0,0,1,1,9,0,0,BASSE RUE,0.43,2,5
2,Normale,Plein jour,1,0,0,3,1,9,0,0,MENIN RUE DE,1.29,4,5
2,Normale,Plein jour,1,0,0,3,0,0,,0,ROUTE NATIONALE 351,1.29,3,3
2,Pluie légère,Nuit avec éclairage public allumé,1,0,0,3,1,2,1,0,DE GAULLE (AVENUE DU GENERAL),1.29,4,5
3,Normale,Plein jour,1,0,0,1,2,1,1,0,RATISBONNE RUE,0.43,3,5
2,Normale,Plein jour,1,0,0,1,1,9,0,0,OUEST BOULEVARD DE L,0.43,2,5
3,Normale,Crépuscule ou aube,0,0,0,1,1,9,,0,SCRIVE GUSTAVE RUE,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,9,0,0,Echangeur Autoroute A25 Pte d'Attas,0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,1,149,0,MONTEBELLO BD PAIRS DE 78 A 196,0.43,2,5
6,Normale,Plein jour,0,0,0,1,0,9,0,0,ZAMIN 2E AVENUE,0.43,1,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,1,6,0,HAUBOURDIN,0.43,1,5
3,Temps couvert,Plein jour,1,0,0,1,1,1,65,0,HENTGES JOSEPH BOULEVARD,0.43,2,5
2,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,1,0,SASSELANGE (RUE EDOUARD),0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A1,0.43,2,3
6,Normale,Plein jour,1,0,0,1,1,1,149,0,FIVES (RUE DE),0.43,2,5
6,Pluie légère,Nuit avec éclairage public allumé,1,0,0,1,1,1,0,0,TOURNAI BOULEVARD DE,0.43,2,5
7,Normale,Plein jour,1,0,0,1,0,0,,0,AUTOROUTE A25,0.43,1,3
6,Pluie forte,Nuit sans éclairage public,1,0,0,1,1,0,,0,AUTOROUTE A25,0.43,2,3
7,Normale,Plein jour,1,0,0,1,0,0,,0,ROUTE NATIONALE 227,0.43,1,3
6,Normale,Plein jour,1,0,0,1,1,9,,0,LANNOY RUE,0.43,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,109,0,COTY RENE AVENUE,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,1,1,0,PAUL MARCEL RUE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,3,1,1,0,FOCH RUE DU MARECHAL,0.43,4,5
3,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,28,0,ABELARD RUE,0.43,2,5
6,Normale,Nuit sans éclairage public,1,0,0,1,1,0,,0,AUTOROUTE A1,0.43,2,3
6,Normale,Plein jour,0,0,0,1,2,0,,0,ROUTE DEPARTEMENTALE 656,0.43,3,3
2,Normale,Plein jour,1,0,0,1,1,9,0,0,FLANDRE AVENUEE DE,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,2,9,,0,GAMBETTA LEON RUE,0.43,3,5
1,Normale,Plein jour,1,0,0,1,2,1,65,0,DE GIRARD RUE PHILIPPE,0.43,3,5
6,Normale,Plein jour,1,0,0,1,1,1,23,0,SOLFERINO RUE N°1 A 159,0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,9,0,0,POINCARE RUE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,1,29,0,PEUPLIERS (ALLEE DES),0.43,2,5
7,Normale,Plein jour,3,0,0,1,0,0,,0,AUTOROUTE A25,0.43,1,3
6,Normale,Plein jour,1,0,0,1,1,1,0,0,COLBERT RUE,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,9,0,0,LOUIS XIV BOULEVARD,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,9,0,0,CHAPPE RUE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A22,0.43,2,3
7,Normale,Plein jour,1,0,0,1,0,0,,0,AUTOROUTE A22,0.43,1,3
7,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,0,,0,ROUTE DEPARTEMENTALE 652,0.43,1,3
2,Normale,Plein jour,1,0,0,1,1,9,,0,JOUHAUX LEON PONT,0.43,2,5
5,Normale,Plein jour,1,0,0,2,4,,,,,0.86,6,3
6,Normale,Plein jour,1,0,0,2,1,1,,0,CORBUSIER AVENUE LE,0.86,3,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,2,0,1,1,0,STRASBOURG BOULEVARD,0.86,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,2,2,1,30,0,IENA RUE,0.86,4,5
