Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,9,217,0,FAUBOURG DES POSTES RUE,0.43,2,5
6,Autre,Nuit avec éclairage public allumé,1,0,0,1,0,9,0,0,SARTS PARC DES,0.43,1,5
6,Normale,Plein jour,1,0,0,1,0,0,,0,AUTOROUTE A1,0.43,1,3
3,Normale,Plein jour,5,0,0,1,1,1,189,0,REPUBLIQUE AVENUE DE LA,0.43,2,5
1,Pluie forte,Plein jour,1,0,0,1,1,1,39,0,CASSIN RENE RUE,0.43,2,5
6,Pluie forte,Plein jour,1,0,0,1,1,1,0,0,ALSACE BOULEVARD D,0.43,2,5
4,Pluie légère,Plein jour,1,0,0,1,3,0,,0,AUTOROUTE A25,0.43,4,3
3,Normale,Plein jour,4,0,0,1,1,9,0,0,CARREL ARMAND RUE,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,1,253,0,HIPPODROME AV DE L N°237 AU389,0.43,2,5
4,Normale,Plein jour,1,0,0,1,3,0,,0,AUTOROUTE A1,0.43,4,3
3,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,173,0,SOLFERINO RUE N°110 A 206,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,9,0,0,PIATS (RUE DES),0.43,2,5
3,Pluie forte,Plein jour,5,0,0,1,1,9,0,0,OUEST BOULEVARD DE L,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,1,52,0,ESPLANADE FACADE,0.43,2,5
2,Normale,Nuit sans éclairage public,1,0,0,1,0,1,952,0,VENDEVILLE ROUTE DE,0.43,1,5
6,Normale,Plein jour,1,0,0,1,1,9,0,0,LIBERTE BOULEVARD N°1 A 49,0.43,2,5
4,Pluie légère,Plein jour,1,0,0,1,5,0,,0,ROUTE NATIONALE 351,0.43,6,3
6,Temps couvert,Nuit avec éclairage public allumé,1,0,0,1,0,1,600,0,REPUBLIQUE AVENUE DE LA,0.43,1,5
3,Normale,Plein jour,1,0,0,1,1,9,0,0,OUEST BOULEVARD DE L,0.43,2,5
6,Pluie légère,Nuit sans éclairage public,1,0,0,1,0,0,,0,ROUTE DEPARTEMENTALE 656,0.43,1,3
3,Normale,Plein jour,5,0,0,1,1,1,74,0,VAUBAN BOULEVARD N° RESTE,0.43,2,5
2,Normale,Plein jour,1,0,0,1,1,1,12,0,CANNES RUE DE,0.43,2,5
1,Normale,Plein jour,1,0,0,1,1,,,,,0.43,2,1
3,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,1,0,NATIONALE RUE,0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,1,1,0,JAURES JEAN RUE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,0,9,0,0,LAVOISIER RUE,0.43,1,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,1,61,0,8 MAI 1945 RUE DU A PARTIR DU N° 60,0.43,2,5
3,Normale,Nuit avec éclairage public allumé,1,0,0,1,1,9,0,0,SCHUMAN ROBERT BOULEVARD,0.43,2,5
6,Temps couvert,Plein jour,0,0,0,1,1,1,0,0,BRANDT WILLY AVENUE,0.43,2,5
6,Normale,Plein jour,1,0,0,1,2,1,275,0,MARTYRS AVENUE DES,0.43,3,5
3,Normale,Plein jour,5,0,0,1,1,9,0,0,TURENNE (RUE DE),0.43,2,5
3,Normale,Plein jour,1,0,0,1,1,1,2,0,MOULINS RUE VIEUX,0.43,2,5
6,Pluie légère,Plein jour,1,0,0,1,1,1,49,0,ISLY RUE,0.43,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,0,0,,0,AUTOROUTE A1,0.43,1,3
6,Normale,Nuit avec éclairage public allumé,1,0,0,1,2,0,,0,ROUTE NATIONALE 351,0.43,3,3
6,Normale,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A22,0.43,2,3
6,Normale,Plein jour,0,0,0,1,1,1,0,0,IENA RUE,0.43,2,5
6,Pluie légère,Plein jour,1,0,0,1,1,1,324,0,ROUGE (RUE DE LA CROIX),0.43,2,5
